Pre Match.match_num,Pre Match.teamNum,Pre Match.allianceColor,Auton.autonCoral L4,Auton.autonCoral L3,Auton.autonCoral L2,Auton.autonCoral L1,Auton.autonCoralMissed,Auton.autonProc,Auton.autonNet,Match.matchCoral L4,Match.matchCoral L3,Match.matchCoral L2,Match.matchCoral L1,Match.MatchCoralMissed,Match.matchProc,Match.matchNet
1,3045,blueAlliance,3,0,0,0,0,0,0,2,3,4,0,0,0,1
1,9496,redAlliance,3,0,0,0,0,0,0,2,4,3,3,0,0,0
1,6647,blueAlliance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1241,blueAlliance,4,0,0,0,0,0,0,1,6,6,1,1,2,0
1,4907,redAlliance,3,0,0,0,0,0,0,2,6,3,0,0,1,1
1,6324,redAlliance,1,0,0,0,0,0,2,1,6,5,0,1,0,2
2,2080,blueAlliance,0,0,0,0,0,0,0,3,1,0,0,1,0,0
2,7421,blueAlliance,1,0,0,0,2,0,0,2,2,2,0,6,0,0
2,10224,redAlliance,0,0,0,0,0,0,0,2,4,2,0,1,0,0
2,2470,blueAlliance,0,0,0,0,0,0,0,1,0,0,0,0,2,2
2,5985,redAlliance,0,0,0,0,0,0,0,0,2,0,0,0,2,0
2,51,redAlliance,1,0,0,0,0,0,0,3,0,3,0,3,0,2
3,2075,blueAlliance,3,0,0,0,0,0,0,4,0,0,0,0,0,1
3,9450,redAlliance,1,1,0,0,1,0,0,1,6,5,0,0,0,1
3,4728,blueAlliance,0,0,0,0,0,0,0,3,3,2,0,0,0,0
3,3656,blueAlliance,1,0,0,0,0,0,0,2,0,4,1,0,1,0
3,2706,redAlliance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3339,redAlliance,3,0,0,0,0,0,0,5,7,4,0,1,0,2
4,86,redAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,3473,blueAlliance,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2783,blueAlliance,3,0,0,0,0,0,0,5,3,0,0,1,2,0
4,2485,redAlliance,0,0,0,1,0,0,0,2,0,0,2,3,1,0
4,801,redAlliance,1,0,0,0,1,0,0,4,0,0,0,3,1,0
4,3882,blueAlliance,1,0,0,0,0,0,0,3,3,2,0,0,0,0
5,5181,blueAlliance,0,0,0,0,0,0,0,5,0,0,0,3,1,0
5,540,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6621,blueAlliance,1,0,0,0,2,0,0,4,4,6,0,0,0,0
5,6652,blueAlliance,0,0,0,0,0,0,0,0,2,0,0,1,0,0
5,2767,redAlliance,3,0,0,0,0,0,0,1,4,4,0,4,2,0
5,8177,redAlliance,1,0,0,0,0,0,0,0,3,2,0,3,0,1
6,9134,blueAlliance,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6,5013,blueAlliance,0,0,0,0,1,0,0,5,3,0,1,0,0,0
6,781,redAlliance,1,0,0,0,0,0,0,8,0,0,0,2,0,3
6,7902,redAlliance,0,0,0,0,2,0,0,1,3,0,1,1,0,1
6,5987,blueAlliance,1,0,0,0,1,0,0,3,4,0,0,0,0,1
7,2200,redAlliance,1,0,0,0,2,0,0,6,4,4,0,0,0,0
7,2539,blueAlliance,3,0,0,0,0,0,0,6,0,4,0,0,0,0
7,230,blueAlliance,1,0,0,1,1,0,0,1,4,3,0,0,2,0
7,3794,redAlliance,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,3970,redAlliance,0,0,0,0,0,0,0,6,5,3,0,0,1,1
7,1700,blueAlliance,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1768,redAlliance,3,0,0,0,0,0,0,3,5,6,0,2,0,0
8,973,blueAlliance,3,0,0,0,0,0,0,8,0,0,0,4,1,0
