comp_level,match_number,red,blue,timestamp
f,1,"frc4415,frc8871,frc6995","frc9408,frc3009,frc5199",1740876490
f,2,"frc4415,frc8871,frc6995","frc9408,frc3009,frc5199",1740877970
qm,1,"frc7230,frc4415,frc3501","frc8,frc9408,frc4079",1740761383
qm,2,"frc3309,frc1661,frc7447","frc5285,frc7415,frc4984",1740761963
qm,3,"frc867,frc4141,frc6695","frc840,frc6904,frc5805",1740763345
qm,4,"frc3952,frc5500,frc1538","frc2443,frc8871,frc9271",1740763916
qm,5,"frc3476,frc5835,frc7157","frc6995,frc7042,frc3020",1740764470
qm,6,"frc5199,frc4738,frc8033","frc4999,frc4276,frc2486",1740764980
qm,7,"frc2710,frc8521,frc3009","frc10333,frc3295,frc3473",1740765448
qm,8,"frc3859,frc9408,frc2853","frc4619,frc5669,frc973",1740766035
qm,9,"frc1538,frc6904,frc4141","frc5500,frc5285,frc4415",1740766525
qm,10,"frc5835,frc3501,frc6995","frc3309,frc7230,frc5805",1740767560
qm,11,"frc1661,frc5199,frc4276","frc4738,frc840,frc3952",1740768057
qm,12,"frc3009,frc4079,frc8871","frc2443,frc6695,frc3020",1740768578
qm,13,"frc7042,frc973,frc867","frc7447,frc3295,frc2710",1740769045
qm,14,"frc7415,frc3859,frc4619","frc7157,frc2486,frc9271",1740769568
qm,15,"frc8033,frc10333,frc2853","frc3473,frc3476,frc4984",1740770059
qm,16,"frc5669,frc4999,frc3309","frc6904,frc8,frc8521",1740770537
qm,17,"frc5835,frc3009,frc840","frc5199,frc8871,frc1538",1740771191
qm,18,"frc4738,frc2443,frc5500","frc6695,frc2710,frc3501",1740771642
qm,19,"frc7447,frc2486,frc4619","frc4079,frc1661,frc5805",1740772140
qm,20,"frc3473,frc8033,frc7415","frc4415,frc6995,frc3859",1740772616
qm,21,"frc2853,frc5669,frc7230","frc973,frc7157,frc10333",1740773144
qm,22,"frc9408,frc9271,frc5285","frc8521,frc3020,frc4999",1740773602
qm,23,"frc4984,frc7042,frc3295","frc4141,frc8,frc3952",1740776752
qm,24,"frc4276,frc4619,frc5835","frc867,frc3476,frc2710",1740777226
qm,25,"frc5805,frc4738,frc3473","frc3309,frc5500,frc7415",1740777726
qm,26,"frc4415,frc8871,frc5669","frc3859,frc7447,frc5199",1740778219
qm,27,"frc2853,frc7157,frc4999","frc3501,frc5285,frc3009",1740778694
qm,28,"frc8033,frc8521,frc973","frc7042,frc1538,frc840",1740779143
qm,29,"frc9271,frc4276,frc3295","frc6695,frc1661,frc9408",1740779683
qm,30,"frc4984,frc8,frc2443","frc867,frc3020,frc2486",1740780281
qm,31,"frc6904,frc3476,frc3952","frc4079,frc7230,frc6995",1740780815
qm,32,"frc4141,frc3859,frc5805","frc4999,frc5199,frc10333",1740781400
qm,33,"frc4738,frc7415,frc4415","frc2853,frc840,frc8521",1740781877
qm,34,"frc5669,frc9271,frc7447","frc3295,frc5835,frc8033",1740782635
qm,35,"frc973,frc1538,frc4276","frc3501,frc3020,frc4619",1740783441
qm,36,"frc2710,frc4984,frc2486","frc6695,frc7230,frc6904",1740783892
qm,37,"frc1661,frc3009,frc8","frc6995,frc3476,frc5500",1740784332
qm,38,"frc3952,frc3473,frc3309","frc4141,frc2443,frc7157",1740784980
qm,39,"frc10333,frc867,frc9408","frc5285,frc7042,frc8871",1740785422
qm,40,"frc4079,frc973,frc7415","frc4999,frc1538,frc5835",1740786084
qm,41,"frc3295,frc3020,frc7230","frc4738,frc4619,frc6904",1740786586
qm,42,"frc5805,frc6995,frc5199","frc2710,frc9271,frc2853",1740787156
qm,43,"frc3501,frc7447,frc2443","frc8521,frc3859,frc3476",1740787712
qm,44,"frc3009,frc2486,frc7042","frc9408,frc4141,frc3309",1740788132
qm,45,"frc840,frc4079,frc5285","frc4984,frc5500,frc5669",1740788675
qm,46,"frc4276,frc6695,frc10333","frc7157,frc3952,frc4415",1740789221
qm,47,"frc8,frc3473,frc867","frc8033,frc1661,frc8871",1740789683
qm,48,"frc3476,frc7230,frc2443","frc7415,frc3295,frc5199",1740790217
qm,49,"frc1538,frc4738,frc3859","frc5805,frc9408,frc7042",1740790761
qm,50,"frc2486,frc4141,frc840","frc3020,frc2853,frc5835",1740791312
