comp_level,match_number,red,blue,timestamp
f,1,"frc2767,frc2877,frc1768","frc3339,frc2200,frc1153",1745079022
f,2,"frc2767,frc2877,frc1768","frc3339,frc2200,frc1153",1745080411
f,3,"frc2767,frc2877,frc1768","frc3339,frc2200,frc1153",1745081924
qm,1,"frc6324,frc4907,frc9496","frc6647,frc1241,frc3045",1744896358
qm,2,"frc5985,frc51,frc10224","frc2080,frc7421,frc2470",1744896797
qm,3,"frc3339,frc2706,frc9450","frc3656,frc4728,frc2075",1744897292
qm,4,"frc2485,frc801,frc86","frc3473,frc2783,frc3882",1744897742
qm,5,"frc2767,frc8177,frc540","frc6621,frc6652,frc5181",1744898787
qm,6,"frc7902,frc781,frc6873","frc5013,frc9134,frc5987",1744899249
qm,7,"frc3794,frc3970,frc2200","frc230,frc2539,frc1700",1744899893
qm,8,"frc1153,frc4145,frc1768","frc8595,frc973,frc8570",1744900456
qm,9,"frc1902,frc7632,frc2877","frc2383,frc467,frc3928",1744900979
qm,10,"frc1506,frc2491,frc3814","frc5193,frc9245,frc9635",1744901480
qm,11,"frc888,frc5736,frc5817","frc3130,frc195,frc2960",1744901912
qm,12,"frc10479,frc70,frc9545","frc3197,frc4009,frc33",1744902426
qm,13,"frc2522,frc1038,frc6652","frc86,frc2706,frc10157",1744903149
qm,14,"frc4728,frc2767,frc3882","frc5987,frc2080,frc6647",1744903627
qm,15,"frc4907,frc2783,frc51","frc3339,frc7902,frc230",1744904055
qm,16,"frc6873,frc10224,frc540","frc1768,frc2075,frc1241",1744904561
qm,17,"frc2877,frc6324,frc973","frc3473,frc5181,frc9450",1744905006
qm,18,"frc3814,frc7421,frc1902","frc3656,frc8570,frc8177",1744905533
qm,19,"frc8595,frc5817,frc467","frc9496,frc5193,frc781",1744906081
qm,20,"frc801,frc4009,frc2383","frc3197,frc4145,frc2539",1744906546
qm,21,"frc5013,frc2491,frc3045","frc33,frc195,frc3928",1744907028
qm,22,"frc3130,frc1506,frc1038","frc2200,frc10479,frc9134",1744907447
qm,23,"frc10157,frc6621,frc3794","frc5985,frc5736,frc3970",1744907895
qm,24,"frc2485,frc9635,frc1700","frc2960,frc70,frc7632",1744908387
qm,25,"frc2470,frc9545,frc888","frc1153,frc9245,frc2522",1744908835
qm,26,"frc7421,frc2783,frc2767","frc9450,frc3814,frc6873",1744909262
qm,27,"frc3656,frc4907,frc1768","frc781,frc3882,frc2877",1744909728
qm,28,"frc2539,frc5193,frc7902","frc4728,frc86,frc6324",1744910590
qm,29,"frc6647,frc8570,frc3928","frc467,frc540,frc4009",1744914776
qm,30,"frc230,frc1038,frc9134","frc195,frc801,frc8595",1744915288
qm,31,"frc3197,frc10157,frc1241","frc973,frc51,frc6621",1744915752
qm,32,"frc9496,frc3130,frc2075","frc70,frc3970,frc5013",1744916431
qm,33,"frc2080,frc2383,frc1700","frc9245,frc3045,frc9545",1744916917
qm,34,"frc5181,frc7632,frc888","frc2470,frc5987,frc2491",1744917366
