team_number,nickname,name,city,state_prov,country
10157,Roman Robotics,Roman Catholic High School,Philadelphia,Pennsylvania,USA
1038,Lakota Robotics,"Paul George STEM Center/The Boeing Company/Sugarcreek/Salvagnini America Inc/Rockwell Automation/The Gene Haas Foundation/CAM - Cincinnati Automation & Mechatronics, LLC/Thyssenkrupp Bilstein of America/Union Center Business Merchant Association/P&G CORE/G&W Machinery Sales, Inc./Woods IT Consulting/FESTO Corporation/Lakota LaRosa's/Top Tier Services, LLC/DoD STEM&Lakota East High School&Lakota West High School&William Mason High School&Lakota Robotics, LLC",Liberty Township ,Ohio,USA
10479,Powerhouse,"Li-Ning Company Limited/Wonderlab/Blocco 5 Shoes/EF International Pathway/Jiahui Health/Booroola(Shanghai)Branding Co.,Ltd&YK Pao School",Shanghai,Shanghai,China
1153,Timberwolves,Analog Devices/Legacy Engineering/WM Duggan Company/Koopman Lumber&Walpole High School,Walpole,Massachusetts,USA
1241,THEORY6,General Motors/Pratt & Whitney Canada/Johnston Industrial Plastics Limited/CSC/Zerox/DBG Canada Limited/Symcor/Rev Creations/Rakla Tires/Click N Print/Trans Canada/99Cent Depot/Dreams Convention Center/Studica/City of Mississauga/Peel District School Board&Rick Hansen S.S,Mississauga,Ontario,Canada
1506,Metal Muscle,Kettering University/General Motors/Welch Foundation/State of Michigan/Aptiv Foundation/Michigan Eye Institute/Community Foundation of Greater Flint/Haas Foundation/ABB Inc/United Way of Genesee County/The Hougen Foundation/Cole's Machine Inc./Michigan Robotics Foundation/Dort Financial Credit Union/Midstate Bolt & Screw&Family/Community,Flint,Michigan,USA
1700,Gatorbotics,GGV Capital/Google/IDEO/Crane Technologies/Brin Wojcicki Foundation/SolidWorks/Il Fornaio/Olander&Castilleja School,Palo Alto,California,USA
1768,Nashoba Robotics,SynQor/Smartapp/Raytheon&Nashoba Regional High School,Bolton,Massachusetts,USA
1902,Exploding Bacon,"DoD STEM/Rev Robotics/Novelis/SBS/Metal Essence, Inc./Rockwell Automation/Gene Haas Foundation/Comcast NBC Universal/Walt Disney World Engineers/Intuitive Foundation/Orange County/Fluid Power Society/Elise Cronin-Hurley&4-H",Orlando,Florida,USA
195,CyberKnights,Mohawk Northeast/Southington Public Schools/Otis Elevator/Lockheed Martin/Henkel/Kyle Herren&CyberKnights Robotics,Southington,Connecticut,USA
